"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_min"
"Clean (Taylor's Version)","1989 (Taylor's Version) [Deluxe]","2023-10-27",13,"spotify:track:0lKUBmEyQfzsQHozyeXzES",0.297,0.782,0.379,2.98e-05,0.103,-8.964,0.0303,103.99,0.267,62,4.51666666666667
"Wonderland (Taylor's Version)","1989 (Taylor's Version) [Deluxe]","2023-10-27",14,"spotify:track:6HRsJu8vcnzYDN4t0570FY",0.0105,0.387,0.703,1.1e-05,0.128,-5.956,0.0545,123.18,0.32,61,4.09276666666667
"You Are In Love (Taylor's Version)","1989 (Taylor's Version) [Deluxe]","2023-10-27",15,"spotify:track:0TyGh27YQ5LknmiDhCzJiT",0.572,0.554,0.509,2.08e-06,0.113,-9.403,0.0455,85.079,0.401,62,4.45648333333333
"New Romantics (Taylor's Version)","1989 (Taylor's Version) [Deluxe]","2023-10-27",16,"spotify:track:5M787RexsAiVYjQusM98CV",0.00516,0.653,0.848,4.24e-06,0.0798,-5.936,0.0583,122.017,0.724,63,3.83628333333333
"""Slut!"" (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]","2023-10-27",17,"spotify:track:0CD7DzeCsuPJygddqlUVYa",0.33,0.621,0.415,0.000112,0.0634,-13.187,0.0543,77.978,0.313,64,3.00635
"Say Don't Go (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]","2023-10-27",18,"spotify:track:3CCRVu4F91Qp2mnGjmWBrf",0.0684,0.632,0.539,5.82e-06,0.132,-8.375,0.0342,109.962,0.186,63,4.66388333333333
"Now That We Don't Talk (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]","2023-10-27",19,"spotify:track:5QUIK7ZtziW8kGWo8RqopF",0.16,0.8,0.509,3.05e-05,0.0834,-9.386,0.034,109.994,0.0768,65,2.4406
"Suburban Legends (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]","2023-10-27",20,"spotify:track:6M9ppdfFjR1AbpUl3Y8DcV",0.212,0.695,0.607,0,0.102,-8.84,0.0357,118.043,0.394,61,2.86363333333333
"Is It Over Now? (Taylor's Version) (From The Vault)","1989 (Taylor's Version) [Deluxe]","2023-10-27",21,"spotify:track:6IG3sQ8s9nfk6TUlVzRhbN",0.0486,0.599,0.651,0,0.126,-7.343,0.035,100.001,0.153,66,3.82461666666667
"Bad Blood (feat. Kendrick Lamar) (Taylor's Version)","1989 (Taylor's Version) [Deluxe]","2023-10-27",22,"spotify:track:6qAcApH8obo8eqatCKUHd9",0.0143,0.604,0.644,0,0.237,-6.931,0.0889,170.088,0.197,74,3.32955
