"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_min"
"august - the long pond studio sessions","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",8,"spotify:track:4MGexoZc12lqE0hYkq9YYx",0.5,0.554,0.663,4.77e-05,0.791,-8.961,0.0324,89.977,0.545,54,4.33333333333333
"this is me trying - the long pond studio sessions","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",9,"spotify:track:1gaLZjPrDnHQWJds2Jg4KT",0.928,0.435,0.332,0.000898,0.0867,-11.611,0.031,68.097,0.157,54,3.48821666666667
"illicit affairs - the long pond studio sessions","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",10,"spotify:track:560uQyz3p5G9WdnMX39xc6",0.883,0.489,0.235,0,0.113,-10.274,0.0356,117.699,0.435,53,3.062
"invisible string - the long pond studio sessions","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",11,"spotify:track:5KByGq0JijSSDcy0qzuINs",0.942,0.59,0.282,4.85e-06,0.11,-10.542,0.0281,83.438,0.351,51,4.28931666666667
"mad woman - the long pond studio sessions","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",12,"spotify:track:04xrhDrQ2WOW8GLwu7kbc0",0.887,0.663,0.465,0.000168,0.109,-10.463,0.0408,141.834,0.346,50,3.97221666666667
"epiphany - the long pond studio sessions","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",13,"spotify:track:4yyKppX85ZkmlGOC2toBZA",0.916,0.524,0.2,0.000392,0.068,-13.004,0.0274,93.87,0.113,49,4.58133333333333
"betty - the long pond studio sessions","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",14,"spotify:track:1mh5dObNoOvCfHmXnhvDEK",0.841,0.538,0.316,0,0.119,-9.5,0.0299,95.68,0.518,51,4.834
"peace - the long pond studio sessions","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",15,"spotify:track:4YHHz3VIXgNDGdoL9xC1tx",0.93,0.619,0.344,7.61e-05,0.0734,-11.472,0.0647,149.897,0.513,50,3.57288333333333
"hoax - the long pond studio sessions","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",16,"spotify:track:0QTBsdoJhamY3Aid3fOsOd",0.962,0.682,0.155,0,0.18,-13.083,0.0394,118.832,0.483,51,3.69666666666667
"the lakes - the long pond studio sessions","folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition]","2020-11-25",17,"spotify:track:6mqyTq948oap5AkyTsd6XF",0.794,0.606,0.221,0,0.0888,-11.767,0.0468,89.844,0.112,53,3.32888333333333
