"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_min"
"Jump Then Fall","Fearless (Platinum Edition)","2008-11-11",1,"spotify:track:6WWvcA62QlnRguluWAk6bv",0.111,0.618,0.687,0,0.0693,-5.737,0.0271,79.991,0.82,41,3.9511
"Untouchable","Fearless (Platinum Edition)","2008-11-11",2,"spotify:track:6ovFJkdau79DuXEvQjPaNH",0.0583,0.419,0.454,3.78e-06,0.0974,-6.809,0.0335,200.017,0.288,43,5.184
"Forever & Always - Piano Version","Fearless (Platinum Edition)","2008-11-11",3,"spotify:track:13MAWVUSkbGMUi6I7RowRK",0.852,0.592,0.16,0,0.116,-10.785,0.0347,118.929,0.294,41,4.45843333333333
"Come In With The Rain","Fearless (Platinum Edition)","2008-11-11",4,"spotify:track:0cEG04R5cldkTLzK6phlcn",0.0961,0.527,0.461,2.47e-06,0.24,-6.172,0.0256,143.94,0.23,39,3.96821666666667
"SuperStar","Fearless (Platinum Edition)","2008-11-11",5,"spotify:track:0XfTh16YcKPzdxMPTeKTAq",0.367,0.61,0.531,0,0.351,-6.123,0.0239,85.979,0.228,38,4.35755
"The Other Side Of The Door","Fearless (Platinum Edition)","2008-11-11",6,"spotify:track:1yDJcXc549N6AabNBzFAku",0.169,0.476,0.816,0,0.238,-4.279,0.0347,163.847,0.469,39,3.96
"Fearless","Fearless (Platinum Edition)","2008-11-11",7,"spotify:track:2okho7vU7Nsq1UZD0kgIMi",0.0364,0.598,0.714,1.04e-06,0.31,-4.397,0.0273,99.979,0.467,50,4.03333333333333
"Fifteen","Fearless (Platinum Edition)","2008-11-11",8,"spotify:track:5Ora3Ish2A1JN5veGYTxhw",0.0728,0.559,0.636,0,0.144,-4.4,0.0263,95.485,0.214,40,4.90576666666667
"Love Story","Fearless (Platinum Edition)","2008-11-11",9,"spotify:track:5hnJCRSo4pxRsaEwT9YusG",0.157,0.618,0.736,0,0.073,-3.937,0.0308,118.982,0.307,56,3.92133333333333
"Hey Stephen","Fearless (Platinum Edition)","2008-11-11",10,"spotify:track:3CI1f4yLwdHzcUnH7o0Xyh",0.168,0.843,0.553,2.66e-06,0.107,-7.348,0.0317,115.997,0.825,43,4.23866666666667
"White Horse","Fearless (Platinum Edition)","2008-11-11",11,"spotify:track:5yKB8qcTSflDercM2PXwot",0.302,0.585,0.346,0,0.102,-8.014,0.0256,92.564,0.195,42,3.90733333333333
"You Belong With Me","Fearless (Platinum Edition)","2008-11-11",12,"spotify:track:4kgTdThcDHfuDS2kKxB7Lc",0.164,0.687,0.771,2.46e-05,0.112,-4.424,0.0384,129.964,0.445,57,3.85243333333333
"Breathe","Fearless (Platinum Edition)","2008-11-11",13,"spotify:track:23qIWGhpwvDgC23TyZOUck",0.373,0.498,0.486,0,0.113,-7.384,0.0273,147.952,0.17,38,4.39976666666667
"Tell Me Why","Fearless (Platinum Edition)","2008-11-11",14,"spotify:track:4x7Gxk2GfwZJcqpoVT1PbR",0.0606,0.601,0.852,3.41e-06,0.37,-3.096,0.0386,100.015,0.513,40,3.34266666666667
"You're Not Sorry","Fearless (Platinum Edition)","2008-11-11",15,"spotify:track:3JhvYnOfKLJuWC7jEU0GmJ",0.13,0.459,0.459,2.3e-06,0.113,-4.126,0.0275,134.018,0.281,42,4.36333333333333
"The Way I Loved You","Fearless (Platinum Edition)","2008-11-11",16,"spotify:track:4pEZUytwBzha5Un6m3SCFf",0.0322,0.436,0.712,0,0.111,-3.689,0.0329,160.886,0.379,48,4.07066666666667
"Forever & Always","Fearless (Platinum Edition)","2008-11-11",17,"spotify:track:3NKCWBT2uKp8rxSkcvIrdX",0.0907,0.605,0.829,0,0.106,-4.993,0.0549,128.012,0.514,43,3.75555
"The Best Day","Fearless (Platinum Edition)","2008-11-11",18,"spotify:track:7CjuAoOiSrwWv7wJonAUmw",0.611,0.664,0.447,1e-06,0.139,-8.535,0.0292,126.079,0.364,40,4.0891
"Change","Fearless (Platinum Edition)","2008-11-11",19,"spotify:track:3gFaNwyiafgUoQhR0pHYA9",0.00471,0.548,0.756,0,0.117,-4.175,0.036,96.038,0.224,40,4.68421666666667
