state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Alabama,2022,0,4321,51.5,7500418.75
Alabama,2022,1,297,20.5,475069.25
Alabama,2022,2,252,27.0,363967.25
Alabama,2022,3,398,36.75,1052895.25
Alabama,2022,4,312,18.0,415054.75
Alabama,2022,5,431,17.25,569684.0
Alabama,2022,6,489,41.25,1025848.25
Alabama,2022,7,486,33.0,1246241.0
Alabama,2022,8,398,15.5,333891.5
Alabama,2022,9,280,9.25,197911.75
Alabama,2022,10,307,51.5,379442.5
Alabama,2022,11,287,25.0,679288.5
Alabama,2022,12,384,18.0,761124.75
Alaska,2022,0,480,118.0,3218971.0
Alaska,2022,1,41,83.75,1123448.5
Alaska,2022,2,41,17.0,131813.75
Alaska,2022,3,23,118.0,122942.25
Alaska,2022,4,18,7.5,28509.5
Alaska,2022,5,30,16.25,88751.0
Alaska,2022,6,33,8.75,100401.75
Alaska,2022,7,63,75.75,593862.75
Alaska,2022,8,50,23.0,106175.25
Alaska,2022,9,42,8.5,130500.75
Alaska,2022,10,26,14.25,134051.75
Alaska,2022,11,24,12.75,73113.25
Alaska,2022,12,89,46.5,585400.5
Arizona,2022,0,1872,83.25,5887515.25
Arizona,2022,1,111,16.0,307178.5
Arizona,2022,2,87,10.75,190968.25
Arizona,2022,3,113,10.0,170896.25
Arizona,2022,4,118,26.75,193419.25
Arizona,2022,5,164,8.0,241666.0
Arizona,2022,6,269,16.25,566061.5
Arizona,2022,7,236,73.25,1451385.5
Arizona,2022,8,257,42.25,880524.25
Arizona,2022,9,137,83.25,676498.0
Arizona,2022,10,141,41.25,788816.5
Arizona,2022,11,123,14.0,228449.5
Arizona,2022,12,116,12.5,191651.75
Arkansas,2022,0,3455,132.75,8784582.5
Arkansas,2022,1,222,50.25,417769.5
Arkansas,2022,2,305,132.75,2167501.0
Arkansas,2022,3,258,40.25,592014.0
Arkansas,2022,4,359,22.25,578608.5
Arkansas,2022,5,371,51.0,1231929.25
Arkansas,2022,6,334,51.25,700696.25
Arkansas,2022,7,354,27.25,831669.0
