state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Delaware,2019,10,49,7.5,35074.75
Delaware,2019,11,42,12.5,45595.25
Delaware,2019,12,7,3.25,5310.75
District of Columbia,2019,0,279,19.5,606478.75
District of Columbia,2019,1,21,9.75,44444.25
District of Columbia,2019,2,14,6.0,19197.25
District of Columbia,2019,3,17,19.5,22128.75
District of Columbia,2019,4,19,5.25,24973.0
District of Columbia,2019,5,19,13.75,50546.0
District of Columbia,2019,6,30,5.5,23776.0
District of Columbia,2019,7,56,13.5,259691.0
District of Columbia,2019,8,18,8.75,49406.25
District of Columbia,2019,9,29,18.0,48585.25
District of Columbia,2019,10,20,9.5,35747.5
District of Columbia,2019,11,22,5.75,15879.25
District of Columbia,2019,12,14,5.25,12104.25
Florida,2019,0,11652,107.5,15088704.25
Florida,2019,1,818,12.5,925162.0
Florida,2019,2,613,15.5,549065.0
Florida,2019,3,687,13.75,807085.0
Florida,2019,4,961,47.0,1778904.75
Florida,2019,5,1105,41.25,1547261.5
Florida,2019,6,1445,107.5,2016257.25
Florida,2019,7,1515,30.25,2055537.5
Florida,2019,8,1241,18.75,1384230.0
Florida,2019,9,958,25.0,1197637.75
Florida,2019,10,983,45.75,1246280.5
Florida,2019,11,594,24.75,799742.0
Florida,2019,12,732,11.5,781541.0
Georgia,2019,0,6160,43.75,9265403.75
Georgia,2019,1,396,15.75,447872.5
Georgia,2019,2,345,40.0,658299.5
Georgia,2019,3,275,43.75,519865.25
Georgia,2019,4,482,34.75,992221.5
Georgia,2019,5,582,8.75,437591.25
Georgia,2019,6,962,41.0,2094112.25
Georgia,2019,7,616,25.5,677827.0
Georgia,2019,8,635,22.0,887203.75
Georgia,2019,9,453,35.5,919152.0
Georgia,2019,10,606,24.0,698436.0
Georgia,2019,11,350,11.0,334356.75
Georgia,2019,12,458,19.5,598466.0
Hawaii,2019,0,375,44.5,1408972.0
Hawaii,2019,1,33,6.25,61741.25
Hawaii,2019,2,31,22.75,296611.75
Hawaii,2019,3,27,17.75,63181.25
Hawaii,2019,4,22,4.25,29982.75
Hawaii,2019,5,24,2.25,38161.0
Hawaii,2019,6,31,6.0,74310.5
Hawaii,2019,7,29,4.25,36008.0
Hawaii,2019,8,34,11.75,38977.75
Hawaii,2019,9,38,10.0,69281.25
Hawaii,2019,10,44,13.5,144610.5
Hawaii,2019,11,30,13.5,87007.0
Hawaii,2019,12,32,44.5,469099.0
Idaho,2019,0,870,41.25,1494663.0
Idaho,2019,1,51,6.5,55128.75
Idaho,2019,2,72,16.75,137941.25
Idaho,2019,3,39,4.0,41507.0
