state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Alabama,2020,0,4825,269.0,54097905.75
Alabama,2020,1,407,47.25,1701510.75
Alabama,2020,2,281,16.75,279854.75
Alabama,2020,3,316,123.75,398857.0
Alabama,2020,4,539,88.25,4897693.25
Alabama,2020,5,417,17.75,720039.75
Alabama,2020,6,479,36.5,794181.75
Alabama,2020,7,518,19.5,825878.5
Alabama,2020,8,408,16.25,677503.5
Alabama,2020,9,398,269.0,20113377.0
Alabama,2020,10,465,116.0,21985505.75
Alabama,2020,11,345,74.0,1358955.0
Alabama,2020,12,252,16.5,344548.75
Alaska,2020,0,371,82.25,918561.0
Alaska,2020,1,36,8.25,49245.0
Alaska,2020,2,44,11.25,81637.5
Alaska,2020,3,21,17.75,67674.75
Alaska,2020,4,16,6.5,42147.0
Alaska,2020,5,15,6.75,13534.75
Alaska,2020,6,42,7.75,58723.0
Alaska,2020,7,32,7.25,33068.75
Alaska,2020,8,33,9.0,100298.75
Alaska,2020,9,26,25.25,108772.25
Alaska,2020,10,30,19.75,52486.0
Alaska,2020,11,47,23.5,106296.25
Alaska,2020,12,29,82.25,204677.0
Arizona,2020,0,1707,46.0,3470477.5
Arizona,2020,1,96,25.0,154792.5
Arizona,2020,2,112,30.25,226941.25
Arizona,2020,3,126,46.0,371842.25
Arizona,2020,4,96,5.0,123682.25
Arizona,2020,5,116,32.0,197133.0
Arizona,2020,6,181,23.5,295313.75
Arizona,2020,7,241,15.25,459541.0
Arizona,2020,8,216,22.0,772613.75
Arizona,2020,9,139,6.5,242675.0
Arizona,2020,10,157,9.75,213151.25
Arizona,2020,11,126,21.0,228334.75
Arizona,2020,12,101,11.25,184456.75
Arkansas,2020,0,2639,98.75,15443311.5
Arkansas,2020,1,228,45.0,1118527.5
Arkansas,2020,2,108,7.5,121531.0
Arkansas,2020,3,126,77.5,249095.25
Arkansas,2020,4,354,98.75,9394285.25
Arkansas,2020,5,309,50.0,647847.25
Arkansas,2020,6,285,27.0,552684.5
Arkansas,2020,7,261,27.0,503569.5
Arkansas,2020,8,319,95.25,1892494.75
Arkansas,2020,9,190,11.75,336297.0
Arkansas,2020,10,138,34.75,183525.0
Arkansas,2020,11,216,24.5,286112.0
Arkansas,2020,12,105,25.0,157342.5
California,2020,0,14148,426.0,91557020.0
California,2020,1,903,92.25,3656280.0
California,2020,2,989,56.5,4734308.5
California,2020,3,945,243.5,5489893.75
California,2020,4,878,30.0,1904462.5
California,2020,5,1058,246.5,3429888.0
California,2020,6,1159,174.5,3467807.0
California,2020,7,1137,98.0,3624200.75
California,2020,8,1296,266.25,13307458.5
California,2020,9,1193,297.25,19060583.25
California,2020,10,1621,186.25,22327996.0
California,2020,11,1334,426.0,4303229.75
California,2020,12,1635,189.75,6250912.0
Colorado,2020,0,2222,130.0,4801990.5
Colorado,2020,1,70,6.75,69853.75
Colorado,2020,2,91,8.25,124719.25
Colorado,2020,3,122,18.0,232643.0
Colorado,2020,4,101,10.25,162512.25
Colorado,2020,5,172,12.5,218068.0
Colorado,2020,6,323,68.25,1438593.0
Colorado,2020,7,287,130.0,522822.75
Colorado,2020,8,261,10.75,289922.5
Colorado,2020,9,232,86.0,651948.0
Colorado,2020,10,273,67.5,744866.75
Colorado,2020,11,172,14.5,230847.5
Colorado,2020,12,118,9.25,115193.75
Connecticut,2020,0,1380,204.0,63866975.5
Connecticut,2020,1,94,6.0,79527.25
Connecticut,2020,2,58,23.5,161949.5
Connecticut,2020,3,59,4.25,39886.5
Connecticut,2020,4,113,47.5,686157.25
Connecticut,2020,5,101,11.25,88800.25
Connecticut,2020,6,126,6.75,101104.5
Connecticut,2020,7,193,15.25,184258.75
Connecticut,2020,8,154,204.0,60533169.0
Connecticut,2020,9,99,18.0,213064.25
Connecticut,2020,10,120,25.0,297270.25
Connecticut,2020,11,162,30.75,948835.75
Connecticut,2020,12,101,40.25,532952.25
Delaware,2020,0,383,94.25,1968932.75
Delaware,2020,1,27,6.0,31947.25
Delaware,2020,2,27,14.5,63603.5
Delaware,2020,3,14,6.25,27232.0
Delaware,2020,4,41,15.0,90828.25
Delaware,2020,5,17,8.5,15708.75
Delaware,2020,6,41,7.0,34715.0
Delaware,2020,7,40,7.0,58359.0
Delaware,2020,8,58,94.25,1386455.0
Delaware,2020,9,28,6.5,29293.75
Delaware,2020,10,30,3.0,25482.0
Delaware,2020,11,36,9.75,81795.0
Delaware,2020,12,24,25.25,123513.25
District of Columbia,2020,0,295,30.5,357574.75
District of Columbia,2020,1,23,8.0,18187.25
District of Columbia,2020,2,16,7.25,36213.75
District of Columbia,2020,3,19,7.75,10621.75
District of Columbia,2020,4,19,10.0,17218.75
District of Columbia,2020,5,13,7.75,15450.75
District of Columbia,2020,6,35,7.75,55033.75
District of Columbia,2020,7,44,30.5,107270.25
District of Columbia,2020,8,38,6.75,16323.25
District of Columbia,2020,9,29,9.5,38856.25
District of Columbia,2020,10,14,6.75,7431.0
District of Columbia,2020,11,30,6.0,23412.0
District of Columbia,2020,12,15,6.0,11556.0
Florida,2020,0,12447,186.75,34777558.25
Florida,2020,1,590,14.5,680018.75
Florida,2020,2,864,45.75,2101195.25
Florida,2020,3,702,37.5,625978.5
Florida,2020,4,1078,63.75,1845763.75
Florida,2020,5,1088,31.0,1462078.5
Florida,2020,6,1286,67.25,1500864.75
Florida,2020,7,1431,20.5,1831550.75
Florida,2020,8,1462,33.0,2007360.75
Florida,2020,9,1272,186.75,17220574.0
Florida,2020,10,990,48.5,1270022.75
Florida,2020,11,910,78.75,3022868.5
Florida,2020,12,774,19.0,1209282.0
Georgia,2020,0,6947,111.5,34119290.25
Georgia,2020,1,449,43.75,1357500.5
Georgia,2020,2,498,16.25,632922.5
Georgia,2020,3,387,39.25,714879.5
Georgia,2020,4,839,69.5,3034711.0
Georgia,2020,5,538,49.0,676107.5
Georgia,2020,6,697,40.25,1182754.5
Georgia,2020,7,696,22.5,944411.5
Georgia,2020,8,904,20.0,1325118.0
Georgia,2020,9,644,46.75,983614.25
Georgia,2020,10,496,111.5,22215420.5
Georgia,2020,11,445,38.75,614245.0
Georgia,2020,12,354,16.0,437605.5
Hawaii,2020,0,409,14.75,896668.25
Hawaii,2020,1,45,6.75,71257.5
Hawaii,2020,2,47,14.25,156621.75
Hawaii,2020,3,44,11.0,89017.75
Hawaii,2020,4,29,14.75,77047.0
Hawaii,2020,5,20,5.25,32453.75
Hawaii,2020,6,32,5.75,50438.5
Hawaii,2020,7,41,3.75,45483.75
Hawaii,2020,8,23,3.5,14905.25
Hawaii,2020,9,25,6.75,63918.75
Hawaii,2020,10,46,7.5,118580.75
Hawaii,2020,11,29,7.5,44571.75
Hawaii,2020,12,28,6.75,132371.75
Idaho,2020,0,1017,103.25,4190780.75
Idaho,2020,1,117,23.5,556952.5
Idaho,2020,2,55,18.75,113931.0
Idaho,2020,3,48,48.0,343908.25
Idaho,2020,4,78,9.75,118340.0
Idaho,2020,5,137,47.75,670905.75
Idaho,2020,6,99,17.75,186600.25
Idaho,2020,7,90,21.0,131356.25
Idaho,2020,8,64,20.5,197404.75
Idaho,2020,9,99,103.25,1191822.0
Idaho,2020,10,82,45.75,372252.0
Idaho,2020,11,98,11.5,183615.25
Idaho,2020,12,50,12.0,123692.75
Illinois,2020,0,4125,148.0,32546168.25
Illinois,2020,1,302,20.75,411128.75
Illinois,2020,2,171,9.25,141187.0
Illinois,2020,3,261,23.75,229595.0
Illinois,2020,4,340,23.0,565396.0
Illinois,2020,5,387,36.5,707097.75
Illinois,2020,6,498,28.5,1030422.5
Illinois,2020,7,523,42.25,1925940.75
Illinois,2020,8,409,148.0,25858693.25
Illinois,2020,9,347,13.5,363615.5
Illinois,2020,10,354,11.75,335597.0
Illinois,2020,11,306,29.0,765095.0
Illinois,2020,12,227,15.0,212399.75
Indiana,2020,0,2874,85.75,10786813.5
Indiana,2020,1,165,17.75,261786.5
Indiana,2020,2,104,8.0,136774.75
Indiana,2020,3,175,30.5,327510.75
Indiana,2020,4,195,72.25,1883214.75
Indiana,2020,5,203,58.75,653853.5
Indiana,2020,6,353,48.0,1525364.5
Indiana,2020,7,406,28.0,1186032.5
Indiana,2020,8,359,85.75,3204437.0
Indiana,2020,9,186,59.25,289550.75
Indiana,2020,10,253,11.5,361338.0
Indiana,2020,11,271,26.5,704332.75
Indiana,2020,12,204,16.75,252617.75
Iowa,2020,0,1454,213.25,43064146.0
Iowa,2020,1,141,17.0,218027.25
Iowa,2020,2,40,22.25,71518.5
Iowa,2020,3,99,21.0,131304.0
Iowa,2020,4,103,13.25,101784.25
Iowa,2020,5,117,7.0,77703.75
Iowa,2020,6,155,7.75,161800.0
Iowa,2020,7,154,31.25,397397.75
Iowa,2020,8,218,213.25,41413671.0
Iowa,2020,9,161,11.5,230406.5
Iowa,2020,10,81,10.25,84620.0
Iowa,2020,11,130,7.75,117230.5
Iowa,2020,12,55,18.5,58682.5
Kansas,2020,0,1106,33.25,1437224.75
Kansas,2020,1,73,15.25,70650.5
Kansas,2020,2,48,7.75,70853.25
Kansas,2020,3,68,6.25,69421.5
Kansas,2020,4,79,8.25,54467.75
Kansas,2020,5,123,33.25,223122.75
Kansas,2020,6,190,32.5,273400.75
Kansas,2020,7,141,29.5,184673.75
Kansas,2020,8,84,22.75,161484.75
Kansas,2020,9,61,10.25,56117.5
Kansas,2020,10,103,18.0,136398.25
Kansas,2020,11,72,13.75,68909.0
Kansas,2020,12,64,14.0,67725.0
Kentucky,2020,0,3405,159.0,8799248.0
Kentucky,2020,1,340,19.25,535803.5
Kentucky,2020,2,157,46.75,171145.5
Kentucky,2020,3,258,44.0,353586.5
Kentucky,2020,4,298,73.0,4606376.75
Kentucky,2020,5,278,19.25,323841.0
Kentucky,2020,6,339,41.0,576022.0
Kentucky,2020,7,410,91.5,700438.75
Kentucky,2020,8,263,159.0,287538.0
Kentucky,2020,9,282,14.75,251207.25
Kentucky,2020,10,331,68.5,274968.75
Kentucky,2020,11,252,10.5,284600.0
Kentucky,2020,12,197,66.25,433720.0
Louisiana,2020,0,5747,845.25,171677458.5
Louisiana,2020,1,351,77.0,1251617.75
Louisiana,2020,2,266,26.75,535166.25
Louisiana,2020,3,304,18.5,427247.0
Louisiana,2020,4,600,80.5,3673368.75
Louisiana,2020,5,512,33.25,805152.75
Louisiana,2020,6,650,46.75,1148787.5
Louisiana,2020,7,520,17.5,716013.5
Louisiana,2020,8,595,845.25,99267354.5
Louisiana,2020,9,543,165.5,2920039.5
Louisiana,2020,10,567,272.75,56914208.75
Louisiana,2020,11,528,81.0,3530139.25
