event_id,state_event,Datetime Event Began,Datetime Restoration,Event Type,fips,state,county,start_time,duration,end_time,min_customers,max_customers,mean_customers
Arkansas-0,Arkansas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,5021,Arkansas,Clay,2014-11-24 09:30:00,5.75,2014-11-24 15:15:00,456,1803,1301.4782608695652
Arkansas-0,Arkansas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,5035,Arkansas,Crittenden,2014-11-24 09:30:00,1.25,2014-11-24 10:45:00,755,755,755.0
Arkansas-0,Arkansas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,5051,Arkansas,Garland,2014-11-24 06:15:00,0.75,2014-11-24 07:00:00,279,293,287.3333333333333
Arkansas-0,Arkansas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,5069,Arkansas,Jefferson,2014-11-25 18:15:00,1.25,2014-11-25 19:30:00,252,256,254.0
Arkansas-0,Arkansas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,5093,Arkansas,Mississippi,2014-11-24 09:30:00,0.75,2014-11-24 10:15:00,301,301,301.0
Arkansas-0,Arkansas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,5119,Arkansas,Pulaski,2014-11-26 10:45:00,1.25,2014-11-26 12:00:00,523,523,523.0
Arkansas-0,Arkansas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,5121,Arkansas,Randolph,2014-11-24 10:30:00,5.25,2014-11-24 15:45:00,223,401,367.0952380952381
Arkansas-0,Arkansas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,5121,Arkansas,Randolph,2014-11-24 16:00:00,0.75,2014-11-24 16:45:00,229,229,229.0
Arkansas-0,Arkansas,2014-11-24 00:00:00,2014-11-24 00:00:00,Fuel Supply Emergency - Coal,5131,Arkansas,Sebastian,2014-11-26 16:45:00,6.25,2014-11-26 23:00:00,588,700,615.52
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6027,California,Inyo,2014-11-20 17:30:00,0.5,2014-11-20 18:00:00,287,287,287.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6029,California,Kern,2014-11-21 14:15:00,1.0,2014-11-21 15:15:00,379,531,493.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6037,California,Los Angeles,2014-11-19 16:30:00,59.25,2014-11-22 03:45:00,216,4704,1803.4430379746836
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6051,California,Mono,2014-11-19 17:30:00,0.25,2014-11-19 17:45:00,332,332,332.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6059,California,Orange,2014-11-19 16:45:00,8.0,2014-11-20 00:45:00,949,1328,1187.0625
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6059,California,Orange,2014-11-20 01:00:00,0.5,2014-11-20 01:30:00,220,220,220.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6059,California,Orange,2014-11-20 07:15:00,8.5,2014-11-20 15:45:00,223,709,455.7352941176471
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6059,California,Orange,2014-11-20 16:30:00,9.25,2014-11-21 01:45:00,310,2894,631.2972972972973
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6059,California,Orange,2014-11-21 07:00:00,4.0,2014-11-21 11:00:00,1861,2047,1974.25
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6059,California,Orange,2014-11-21 16:45:00,7.75,2014-11-22 00:30:00,319,1273,642.1612903225806
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6065,California,Riverside,2014-11-19 16:15:00,14.0,2014-11-20 06:15:00,238,1388,791.9464285714286
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6065,California,Riverside,2014-11-20 15:00:00,12.5,2014-11-21 03:30:00,475,1848,1257.24
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6065,California,Riverside,2014-11-21 16:45:00,12.25,2014-11-22 05:00:00,787,3337,1448.5510204081634
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6065,California,Riverside,2014-11-22 06:30:00,7.75,2014-11-22 14:15:00,218,1660,1426.9032258064517
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6067,California,Sacramento,2014-11-21 13:15:00,1.0,2014-11-21 14:15:00,1507,1508,1507.5
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6071,California,San Bernardino,2014-11-19 16:30:00,10.5,2014-11-20 03:00:00,308,1420,1021.5238095238095
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6071,California,San Bernardino,2014-11-20 06:30:00,7.75,2014-11-20 14:15:00,228,703,502.7096774193548
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6071,California,San Bernardino,2014-11-20 16:45:00,20.5,2014-11-21 13:15:00,337,1227,674.560975609756
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6071,California,San Bernardino,2014-11-21 14:15:00,1.0,2014-11-21 15:15:00,1057,1075,1066.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6071,California,San Bernardino,2014-11-21 16:45:00,8.5,2014-11-22 01:15:00,342,945,613.2352941176471
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6071,California,San Bernardino,2014-11-22 01:30:00,0.75,2014-11-22 02:15:00,1220,1237,1225.6666666666667
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6071,California,San Bernardino,2014-11-22 07:15:00,3.25,2014-11-22 10:30:00,200,515,418.38461538461536
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6073,California,San Diego,2014-11-20 06:45:00,0.75,2014-11-20 07:30:00,563,563,563.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6073,California,San Diego,2014-11-20 16:15:00,7.0,2014-11-20 23:15:00,400,844,574.6428571428571
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6073,California,San Diego,2014-11-21 08:15:00,4.25,2014-11-21 12:30:00,1677,1765,1689.8823529411766
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6073,California,San Diego,2014-11-21 17:15:00,1.25,2014-11-21 18:30:00,474,484,479.4
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6073,California,San Diego,2014-11-22 06:00:00,0.5,2014-11-22 06:30:00,807,809,808.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6083,California,Santa Barbara,2014-11-20 05:30:00,1.0,2014-11-20 06:30:00,244,244,244.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6083,California,Santa Barbara,2014-11-20 06:45:00,4.5,2014-11-20 11:15:00,298,298,298.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6083,California,Santa Barbara,2014-11-21 06:30:00,7.75,2014-11-21 14:15:00,444,444,444.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6083,California,Santa Barbara,2014-11-21 16:45:00,7.5,2014-11-22 00:15:00,862,864,863.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6107,California,Tulare,2014-11-19 16:30:00,0.75,2014-11-19 17:15:00,594,595,594.6666666666666
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6107,California,Tulare,2014-11-20 00:15:00,0.25,2014-11-20 00:30:00,238,238,238.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6107,California,Tulare,2014-11-20 21:15:00,0.25,2014-11-20 21:30:00,313,313,313.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6111,California,Ventura,2014-11-19 18:00:00,2.5,2014-11-19 20:30:00,220,220,220.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6111,California,Ventura,2014-11-20 07:30:00,1.0,2014-11-20 08:30:00,257,257,257.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6111,California,Ventura,2014-11-20 18:00:00,4.25,2014-11-20 22:15:00,285,537,320.52941176470586
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6111,California,Ventura,2014-11-21 01:00:00,2.25,2014-11-21 03:15:00,237,239,237.66666666666666
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6111,California,Ventura,2014-11-21 03:30:00,1.0,2014-11-21 04:30:00,236,237,236.25
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6111,California,Ventura,2014-11-21 16:45:00,1.25,2014-11-21 18:00:00,209,2086,1076.2
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6113,California,Yolo,2014-11-21 14:15:00,0.5,2014-11-21 14:45:00,201,201,201.0
California-0,California,2014-11-19 14:44:00,2014-11-19 14:45:00,Suspected Physical Attack - Vandalism,6113,California,Yolo,2014-11-22 07:45:00,2.0,2014-11-22 09:45:00,237,237,237.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6019,California,Fresno,2014-12-12 23:15:00,1.5,2014-12-13 00:45:00,686,688,686.3333333333334
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6019,California,Fresno,2014-12-13 11:00:00,28.25,2014-12-14 15:15:00,240,1681,670.9026548672566
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6027,California,Inyo,2014-12-12 10:45:00,0.5,2014-12-12 11:15:00,724,1525,1124.5
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6029,California,Kern,2014-12-12 07:45:00,11.0,2014-12-12 18:45:00,1910,3960,3004.7954545454545
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6029,California,Kern,2014-12-12 19:15:00,6.5,2014-12-13 01:45:00,637,1786,841.5769230769231
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6029,California,Kern,2014-12-14 21:30:00,0.25,2014-12-14 21:45:00,1973,1973,1973.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6037,California,Los Angeles,2014-12-11 16:30:00,12.75,2014-12-12 05:15:00,326,2227,1240.3921568627452
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6059,California,Orange,2014-12-11 16:00:00,13.25,2014-12-12 05:15:00,884,2864,1960.5471698113208
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6059,California,Orange,2014-12-12 12:15:00,0.25,2014-12-12 12:30:00,258,258,258.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6059,California,Orange,2014-12-12 13:00:00,27.75,2014-12-13 16:45:00,266,3754,959.5405405405405
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6059,California,Orange,2014-12-13 17:15:00,7.75,2014-12-14 01:00:00,295,2420,699.4516129032259
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6059,California,Orange,2014-12-14 05:00:00,7.5,2014-12-14 12:30:00,432,3605,2279.866666666667
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6059,California,Orange,2014-12-14 14:30:00,2.25,2014-12-14 16:45:00,221,1363,553.5555555555555
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6065,California,Riverside,2014-12-11 17:00:00,0.75,2014-12-11 17:45:00,215,215,215.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6065,California,Riverside,2014-12-11 18:00:00,11.25,2014-12-12 05:15:00,246,388,295.73333333333335
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6065,California,Riverside,2014-12-12 06:30:00,11.5,2014-12-12 18:00:00,207,1554,380.6521739130435
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6065,California,Riverside,2014-12-12 20:00:00,0.25,2014-12-12 20:15:00,224,224,224.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6065,California,Riverside,2014-12-13 01:30:00,0.25,2014-12-13 01:45:00,655,655,655.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6065,California,Riverside,2014-12-13 21:15:00,13.25,2014-12-14 10:30:00,213,5133,1574.811320754717
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6065,California,Riverside,2014-12-14 11:00:00,1.25,2014-12-14 12:15:00,287,425,356.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6065,California,Riverside,2014-12-14 18:30:00,0.25,2014-12-14 18:45:00,1542,1542,1542.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6065,California,Riverside,2014-12-14 19:00:00,0.5,2014-12-14 19:30:00,1534,1538,1536.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6067,California,Sacramento,2014-12-11 11:45:00,4.0,2014-12-11 15:45:00,428,18239,2277.4375
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6067,California,Sacramento,2014-12-11 16:00:00,2.5,2014-12-11 18:30:00,269,652,470.4
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6067,California,Sacramento,2014-12-11 19:00:00,1.0,2014-12-11 20:00:00,213,475,331.75
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6067,California,Sacramento,2014-12-12 03:00:00,0.75,2014-12-12 03:45:00,1359,1360,1359.3333333333333
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6067,California,Sacramento,2014-12-12 10:15:00,0.25,2014-12-12 10:30:00,1183,1183,1183.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6067,California,Sacramento,2014-12-12 13:00:00,1.5,2014-12-12 14:30:00,1343,1344,1343.5
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6067,California,Sacramento,2014-12-13 07:15:00,0.5,2014-12-13 07:45:00,493,494,493.5
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6071,California,San Bernardino,2014-12-11 16:30:00,7.0,2014-12-11 23:30:00,497,1228,736.1785714285714
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6071,California,San Bernardino,2014-12-12 05:15:00,0.75,2014-12-12 06:00:00,613,617,614.3333333333334
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6071,California,San Bernardino,2014-12-12 07:00:00,18.25,2014-12-13 01:15:00,220,6265,2173.2328767123286
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6071,California,San Bernardino,2014-12-13 04:45:00,8.5,2014-12-13 13:15:00,246,883,531.7058823529412
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6071,California,San Bernardino,2014-12-13 17:00:00,9.0,2014-12-14 02:00:00,316,2572,969.3611111111111
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6071,California,San Bernardino,2014-12-14 16:30:00,2.0,2014-12-14 18:30:00,391,1795,566.5
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6073,California,San Diego,2014-12-11 07:30:00,3.5,2014-12-11 11:00:00,538,544,539.5
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6073,California,San Diego,2014-12-11 16:45:00,3.25,2014-12-11 20:00:00,220,501,379.15384615384613
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6073,California,San Diego,2014-12-11 20:15:00,0.75,2014-12-11 21:00:00,212,220,214.66666666666666
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6073,California,San Diego,2014-12-12 10:45:00,1.75,2014-12-12 12:30:00,288,6153,2859.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6073,California,San Diego,2014-12-12 19:30:00,1.75,2014-12-12 21:15:00,211,211,211.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6073,California,San Diego,2014-12-13 03:00:00,6.0,2014-12-13 09:00:00,491,557,513.7083333333334
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6073,California,San Diego,2014-12-13 09:15:00,5.25,2014-12-13 14:30:00,489,559,519.8571428571429
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6073,California,San Diego,2014-12-13 18:45:00,2.5,2014-12-13 21:15:00,607,2410,1147.9
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6073,California,San Diego,2014-12-14 01:15:00,0.25,2014-12-14 01:30:00,4992,4992,4992.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6073,California,San Diego,2014-12-14 01:45:00,0.25,2014-12-14 02:00:00,1954,1954,1954.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6073,California,San Diego,2014-12-14 03:00:00,1.5,2014-12-14 04:30:00,439,439,439.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6073,California,San Diego,2014-12-14 08:15:00,7.0,2014-12-14 15:15:00,785,791,785.6428571428571
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6073,California,San Diego,2014-12-14 17:45:00,1.25,2014-12-14 19:00:00,492,492,492.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6083,California,Santa Barbara,2014-12-12 05:15:00,0.5,2014-12-12 05:45:00,3626,3712,3669.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6083,California,Santa Barbara,2014-12-12 07:00:00,14.0,2014-12-12 21:00:00,280,4105,1036.9285714285713
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6107,California,Tulare,2014-12-12 05:30:00,42.0,2014-12-13 23:30:00,301,7930,1984.1369047619048
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6107,California,Tulare,2014-12-13 23:45:00,4.0,2014-12-14 03:45:00,301,301,301.0
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6111,California,Ventura,2014-12-11 16:30:00,12.75,2014-12-12 05:15:00,573,2837,1218.6274509803923
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6111,California,Ventura,2014-12-12 08:30:00,18.25,2014-12-13 02:45:00,347,5459,2019.3013698630136
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6111,California,Ventura,2014-12-13 06:15:00,0.5,2014-12-13 06:45:00,430,1071,750.5
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6111,California,Ventura,2014-12-13 16:45:00,8.5,2014-12-14 01:15:00,263,1589,887.9705882352941
California-1,California,2014-12-11 07:21:00,2014-12-11 21:53:00,Distribution Interruption - Unknown Cause,6111,California,Ventura,2014-12-14 01:45:00,1.5,2014-12-14 03:15:00,306,1257,785.0
