"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
"Girl At Home (Taylor's Version)","Red (Taylor's Version)","2021-11-12",19,"spotify:track:0DMVrlMUn01M0IcpDbwgu7",0.00955,0.691,0.736,1.88e-05,0.101,-6.974,0.0326,125.089,0.612,61,"03:40"
"State Of Grace (Acoustic Version) (Taylor's Version)","Red (Taylor's Version)","2021-11-12",20,"spotify:track:5jAIouBES8LWMiriuNq170",0.663,0.445,0.131,1.57e-06,0.108,-13.778,0.0564,208.918,0.101,61,"05:21"
"Ronan (Taylor's Version)","Red (Taylor's Version)","2021-11-12",21,"spotify:track:7nWui6jiMM2m9qFmET1Mtj",0.661,0.623,0.279,0,0.193,-10.802,0.031,116.04,0.38,58,"04:24"
"Better Man (Taylor's Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",22,"spotify:track:4OmFmE0fzcMG6g0Y8p4eSD",0.214,0.473,0.579,0,0.0877,-5.824,0.0384,73.942,0.255,67,"04:57"
"Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",23,"spotify:track:01K4zKU104LyJ8gMb7227B",0.817,0.606,0.377,0,0.154,-9.455,0.0275,101.96,0.446,70,"04:18"
"Babe (Taylor's Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",24,"spotify:track:0v4z1tuZvn6LGknom9Qx7d",0.0538,0.584,0.743,2.83e-06,0.121,-7.075,0.0931,167.844,0.746,67,"03:44"
"Message In A Bottle (Taylor's Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",25,"spotify:track:3z6XUommYDWPHeFhmhhT6j",0.00188,0.622,0.791,3.72e-06,0.083,-6.106,0.0535,115.915,0.494,70,"03:45"
"I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",26,"spotify:track:4CkgMiMqZ5JzW9iYXSTMTL",0.167,0.391,0.715,0,0.183,-4.516,0.0495,149.654,0.473,70,"04:45"
"Forever Winter (Taylor's Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",27,"spotify:track:3oGVx9RBmiYGv5ZCecWLkx",0.256,0.611,0.552,0,0.134,-5.828,0.031,116.012,0.41,63,"04:23"
"Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",28,"spotify:track:4IQkfUsrwXol38VV3U7t7T",0.817,0.61,0.488,0,0.312,-6.918,0.0293,125.039,0.443,64,"04:00"
"The Very First Night (Taylor's Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",29,"spotify:track:6pYNq0ZwpPVazKzsqpf0G8",0.00115,0.678,0.733,0,0.104,-5.025,0.0281,121.009,0.581,69,"03:20"
"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",30,"spotify:track:5enxwA8aAbwZbf5qCHORXi",0.274,0.631,0.518,0,0.088,-8.771,0.0303,93.023,0.205,80,"10:13"
