"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
"Lavender Haze","Midnights (The Til Dawn Edition)","2023-05-26",1,"spotify:track:24emu3sabKISjRkrys28jq",0.23,0.735,0.449,0.00126,0.132,-10.56,0.0883,97.05,0.0955,63,"03:22"
"Maroon","Midnights (The Til Dawn Edition)","2023-05-26",2,"spotify:track:6qxvy9Pe4RJIq5JBVbbwbS",0.0634,0.655,0.384,1.45e-06,0.0973,-8.29,0.0349,108.058,0.0384,64,"03:38"
"Anti-Hero","Midnights (The Til Dawn Edition)","2023-05-26",3,"spotify:track:5qIHFdkW6phMsTZlN2g8Lc",0.121,0.633,0.648,2.62e-06,0.161,-6.645,0.062,96.888,0.49,63,"03:20"
"Snow On The Beach (feat. Lana Del Rey)","Midnights (The Til Dawn Edition)","2023-05-26",4,"spotify:track:7GA86Uo2jYbj8vIXe2nyWd",0.701,0.663,0.321,0.000598,0.107,-13.527,0.0409,110.021,0.153,60,"04:16"
"You're On Your Own, Kid","Midnights (The Til Dawn Edition)","2023-05-26",5,"spotify:track:6PQOU00xWNrGwCZzboriXy",0.447,0.696,0.39,1.55e-05,0.125,-10.331,0.0616,120.032,0.395,64,"03:14"
"Midnight Rain","Midnights (The Til Dawn Edition)","2023-05-26",6,"spotify:track:4eKMqf9ZMSclDX7V9Ptg7x",0.71,0.604,0.375,5.87e-05,0.116,-11.637,0.0633,137.651,0.203,63,"02:54"
"Question...?","Midnights (The Til Dawn Edition)","2023-05-26",7,"spotify:track:7oomkQSYf1ia2VnVEWfFIU",0.206,0.654,0.51,0,0.249,-8.767,0.242,108.874,0.105,61,"03:30"
"Vigilante Shit","Midnights (The Til Dawn Edition)","2023-05-26",8,"spotify:track:0GKDhq6ZbmSbRHd3eyGlB7",0.166,0.872,0.267,2.18e-05,0.123,-10.764,0.387,79.964,0.168,62,"02:44"
"Bejeweled","Midnights (The Til Dawn Edition)","2023-05-26",9,"spotify:track:0VpF6RLdCfPIeYRwMu4tZK",0.0593,0.687,0.551,0.000143,0.09,-9.202,0.0787,163.994,0.443,63,"03:14"
"Labyrinth","Midnights (The Til Dawn Edition)","2023-05-26",10,"spotify:track:4bBDkw2KBMX0tcgAaXC83Q",0.797,0.48,0.295,0.333,0.12,-15.512,0.0384,110.018,0.132,61,"04:07"
"Karma","Midnights (The Til Dawn Edition)","2023-05-26",11,"spotify:track:45R112Jz5hQeKgITXgSXzs",0.062,0.64,0.619,0,0.475,-7.108,0.065,90.008,0.121,62,"03:24"
"Sweet Nothing","Midnights (The Til Dawn Edition)","2023-05-26",12,"spotify:track:2L09RYwH5Pjzca6PmbUAw3",0.968,0.336,0.161,0.00011,0.115,-14.973,0.0456,176.48,0.407,60,"03:08"
"Mastermind","Midnights (The Til Dawn Edition)","2023-05-26",13,"spotify:track:1QQii3pa5m8MEda0nbkjfw",0.565,0.66,0.343,0.00134,0.0922,-14.132,0.14,125.96,0.137,61,"03:11"
"The Great War","Midnights (The Til Dawn Edition)","2023-05-26",14,"spotify:track:2VuqMjgoKaOHNM8HpxtXKx",0.199,0.57,0.747,2.32e-05,0.0854,-8.93,0.0342,96.016,0.574,62,"04:00"
"Bigger Than The Whole Sky","Midnights (The Til Dawn Edition)","2023-05-26",15,"spotify:track:71CBDRKmF2VeRKYMG1DFBh",0.841,0.42,0.22,0.00131,0.114,-12.584,0.0472,165.564,0.0705,60,"03:38"
"Paris","Midnights (The Til Dawn Edition)","2023-05-26",16,"spotify:track:5tWxKWq1DSP1s9WQ5PWuqu",0.103,0.703,0.518,2.89e-05,0.148,-10.501,0.085,110.94,0.347,60,"03:16"
"High Infidelity","Midnights (The Til Dawn Edition)","2023-05-26",17,"spotify:track:1SztNGCwEHJEVFx90E5g7D",0.704,0.571,0.547,0,0.0877,-10.141,0.101,175.933,0.768,59,"03:51"
"Glitch","Midnights (The Til Dawn Edition)","2023-05-26",18,"spotify:track:7C0w28EsX0Um2FrZs9gso2",0.314,0.677,0.47,0,0.11,-9.65,0.259,140.881,0.347,58,"02:28"
"Would've, Could've, Should've","Midnights (The Til Dawn Edition)","2023-05-26",19,"spotify:track:4txojlesMFQZGWxwz2EeqB",0.393,0.485,0.846,0.00115,0.124,-6.557,0.117,157.918,0.548,62,"04:20"
"Dear Reader","Midnights (The Til Dawn Edition)","2023-05-26",20,"spotify:track:10GRRCR5fctuOF4GFmATJI",0.464,0.674,0.39,0.00122,0.116,-11.944,0.0483,107.891,0.151,59,"03:45"
"Hits Different","Midnights (The Til Dawn Edition)","2023-05-26",21,"spotify:track:3xYJScVfxByb61dYHTwiby",0.134,0.666,0.786,3.34e-06,0.265,-6.556,0.0439,106.02,0.261,72,"03:54"
"Snow On The Beach (feat. More Lana Del Rey)","Midnights (The Til Dawn Edition)","2023-05-26",22,"spotify:track:4zmKGsrXjLmljb5fTaBTot",0.797,0.664,0.399,3.13e-06,0.105,-10.997,0.0349,109.937,0.265,73,"03:49"
"Karma (feat. Ice Spice)","Midnights (The Til Dawn Edition)","2023-05-26",23,"spotify:track:4i6cwNY6oIUU2XZxPIw82Y",0.0574,0.615,0.626,0,0.596,-6.548,0.0778,89.984,0.0705,64,"03:21"
