"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
"Welcome To New York (Taylor's Version)","1989 (Taylor's Version)","2023-10-26",1,"spotify:track:1hR8BSuEqPCCZfv93zzzz9",0.00661,0.76,0.602,0.000133,0.325,-4.871,0.0316,116.989,0.685,71,"03:32"
"Blank Space (Taylor's Version)","1989 (Taylor's Version)","2023-10-26",2,"spotify:track:45wMBGri1PORPjM9PwFfrS",0.0901,0.732,0.719,0,0.331,-5.469,0.0645,96.035,0.71,80,"03:51"
"Style (Taylor's Version)","1989 (Taylor's Version)","2023-10-26",3,"spotify:track:1hjRhYpWyqDpPahmSlUTlc",0.000456,0.514,0.821,0.0232,0.0946,-4.803,0.0444,94.884,0.298,79,"03:51"
"Out Of The Woods (Taylor's Version)","1989 (Taylor's Version)","2023-10-26",4,"spotify:track:045ZeOHPIzhxxsm8bq5kyE",0.000466,0.544,0.884,0.000134,0.381,-5.973,0.0383,91.981,0.184,73,"03:55"
"All You Had To Do Was Stay (Taylor's Version)","1989 (Taylor's Version)","2023-10-26",5,"spotify:track:6GXgd1BPD9bUpqw5AntGV5",0.000778,0.589,0.713,0,0.188,-5.614,0.0308,97.069,0.54,69,"03:13"
"Shake It Off (Taylor's Version)","1989 (Taylor's Version)","2023-10-26",6,"spotify:track:3pv7Q5v2dpdefwdWIvE7yH",0.0112,0.632,0.805,2.51e-05,0.156,-5.707,0.069,160.052,0.903,75,"03:39"
"I Wish You Would (Taylor's Version)","1989 (Taylor's Version)","2023-10-26",7,"spotify:track:43y1WpBdnEy5TR9aZoSQL9",0.00388,0.671,0.853,9.48e-06,0.0812,-6.568,0.0417,118.032,0.523,68,"03:27"
"Bad Blood (Taylor's Version)","1989 (Taylor's Version)","2023-10-26",8,"spotify:track:64FzgoLZ3oXu2SriZblHic",0.0369,0.624,0.711,3.13e-06,0.19,-6.347,0.159,169.999,0.347,71,"03:31"
"Wildest Dreams (Taylor's Version)","1989 (Taylor's Version)","2023-10-26",9,"spotify:track:1K39ty6o1sHwwlZwO6a7wK",0.0348,0.587,0.663,9.95e-05,0.0971,-7.439,0.0598,139.993,0.539,77,"03:40"
"How You Get The Girl (Taylor's Version)","1989 (Taylor's Version)","2023-10-26",10,"spotify:track:75W3SngKzTuoQ94uLf3y82",0.00198,0.761,0.67,1.08e-05,0.0873,-5.956,0.0537,120.014,0.519,67,"04:07"
"This Love (Taylor’s Version)","1989 (Taylor's Version)","2023-10-26",11,"spotify:track:5QVVjX0ZItqlVpEuVCM9Yg",0.302,0.47,0.494,0,0.0672,-8.672,0.0349,144.039,0.0524,67,"04:10"
"I Know Places (Taylor's Version)","1989 (Taylor's Version)","2023-10-26",12,"spotify:track:2f0GI2ZLUtbGqFx8t2Gk6A",0.0846,0.572,0.807,0,0.071,-5.348,0.0574,160.015,0.626,66,"03:15"
"Clean (Taylor's Version)","1989 (Taylor's Version)","2023-10-26",13,"spotify:track:2ByBBvpR9b7IynvRmnG7kG",0.297,0.782,0.379,2.98e-05,0.103,-8.964,0.0303,103.99,0.267,70,"04:31"
"Wonderland (Taylor's Version)","1989 (Taylor's Version)","2023-10-26",14,"spotify:track:2ve0kuaWUCt4Zx8x4bf1MR",0.0105,0.387,0.703,1.1e-05,0.128,-5.956,0.0545,123.18,0.32,67,"04:05"
"You Are In Love (Taylor's Version)","1989 (Taylor's Version)","2023-10-26",15,"spotify:track:4UwqOWDpdeIDVQDuKT6iza",0.572,0.554,0.509,2.08e-06,0.113,-9.403,0.0455,85.079,0.401,69,"04:27"
"New Romantics (Taylor's Version)","1989 (Taylor's Version)","2023-10-26",16,"spotify:track:2vPMoMDXxu9uX1igWZmXSG",0.00516,0.653,0.848,4.24e-06,0.0798,-5.936,0.0583,122.017,0.724,74,"03:50"
"""Slut!"" (Taylor's Version) (From The Vault)","1989 (Taylor's Version)","2023-10-26",17,"spotify:track:71BqAINEnezjQfxE4VuJfq",0.33,0.621,0.415,0.000112,0.0634,-13.187,0.0543,77.978,0.313,77,"03:00"
"Say Don't Go (Taylor's Version) (From The Vault)","1989 (Taylor's Version)","2023-10-26",18,"spotify:track:4NioO5R9sHEZh4cGzMHyNt",0.0684,0.632,0.539,5.82e-06,0.132,-8.375,0.0342,109.962,0.186,73,"04:39"
"Now That We Don't Talk (Taylor's Version) (From The Vault)","1989 (Taylor's Version)","2023-10-26",19,"spotify:track:5KD6AEm19QnMbfWpfoOHMl",0.16,0.8,0.509,3.05e-05,0.0834,-9.386,0.034,109.994,0.0768,77,"02:26"
"Suburban Legends (Taylor's Version) (From The Vault)","1989 (Taylor's Version)","2023-10-26",20,"spotify:track:6T0sEnqjmHISIKwFETeeiP",0.212,0.695,0.607,0,0.102,-8.84,0.0357,118.043,0.394,68,"02:51"
"Is It Over Now? (Taylor's Version) (From The Vault)","1989 (Taylor's Version)","2023-10-26",21,"spotify:track:1Iq8oo9XkmmvCQiGOfORiz",0.0486,0.599,0.651,0,0.126,-7.343,0.035,100.001,0.153,78,"03:49"
