"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
"the 1","folklore","2020-07-24",1,"spotify:track:0Jlcvv8IykzHaSmj49uNW8",0.757,0.777,0.357,7.28e-06,0.108,-6.942,0.0522,139.884,0.172,74,"03:30"
"cardigan","folklore","2020-07-24",2,"spotify:track:4R2kfaDFhslZEMJqAFNpdd",0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,0.551,84,"03:59"
"the last great american dynasty","folklore","2020-07-24",3,"spotify:track:2Eeur20xVqfUoM3Q7EFPFt",0.467,0.686,0.662,0.0023,0.109,-8.505,0.0413,147.922,0.706,70,"03:50"
"exile (feat. Bon Iver)","folklore","2020-07-24",4,"spotify:track:4pvb0WLRcMtbPGmtejJJ6y",0.778,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,0.152,77,"04:45"
"my tears ricochet","folklore","2020-07-24",5,"spotify:track:1MgV7FIyNxIG7WzMRJV5HC",0.806,0.469,0.263,0,0.0749,-10.63,0.0329,129.86,0.112,78,"04:15"
"mirrorball","folklore","2020-07-24",6,"spotify:track:0ZNU020wNYvgW84iljPkPP",0.687,0.553,0.413,2.33e-06,0.0594,-10.037,0.0334,110.107,0.379,73,"03:28"
"seven","folklore","2020-07-24",7,"spotify:track:6KJqZcs9XDgVck7Lg9QOTC",0.9,0.596,0.488,2.7e-05,0.091,-10.769,0.0274,94.922,0.415,70,"03:28"
"august","folklore","2020-07-24",8,"spotify:track:3hUxzQpSfdDqwM3ZTFQY0K",0.538,0.532,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,0.403,84,"04:21"
"this is me trying","folklore","2020-07-24",9,"spotify:track:7kt9e9LFSpN1zQtYEl19o1",0.314,0.515,0.476,4.74e-05,0.171,-9.843,0.0328,135.886,0.412,73,"03:15"
"illicit affairs","folklore","2020-07-24",10,"spotify:track:2NmsngXHeC1GQ9wWrzhOMf",0.881,0.559,0.31,0,0.106,-10.445,0.0338,119.845,0.46,77,"03:10"
"invisible string","folklore","2020-07-24",11,"spotify:track:6VsvKPJ4xjVNKpI8VVZ3SV",0.838,0.653,0.452,7.73e-05,0.108,-11.143,0.055,83.433,0.45,73,"04:12"
"mad woman","folklore","2020-07-24",12,"spotify:track:2QDyYdZyhlP2fp79KZX8Bi",0.655,0.592,0.699,1.68e-05,0.114,-8.995,0.0471,141.916,0.506,65,"03:57"
"epiphany","folklore","2020-07-24",13,"spotify:track:08fa9LFcFBTcilB3iq2e2A",0.731,0.175,0.267,0.000402,0.0858,-13.69,0.0302,94.203,0.106,64,"04:49"
"betty","folklore","2020-07-24",14,"spotify:track:5kI4eCXXzyuIUXjQra0Cxi",0.6,0.593,0.377,0,0.0976,-8.761,0.0253,95.939,0.502,73,"04:54"
"peace","folklore","2020-07-24",15,"spotify:track:7MbT4I8qGntX4fMdqMQgke",0.918,0.647,0.272,1.73e-05,0.0918,-12.906,0.0916,150.044,0.339,65,"03:54"
"hoax","folklore","2020-07-24",16,"spotify:track:6MWoRt97mnSTXZhu3ggi9C",0.966,0.662,0.181,3.86e-06,0.133,-15.065,0.0415,118.819,0.429,65,"03:40"
