"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
"State Of Grace","Red","2012-10-22",1,"spotify:track:786NsUYn4GGUf8AOt0SQhP",0.000197,0.588,0.825,0.00138,0.0885,-5.882,0.0328,129.968,0.397,40,"04:55"
"Red","Red","2012-10-22",2,"spotify:track:0cITLOYn1Sv4q27zZPqlNK",0.0773,0.602,0.896,8.87e-05,0.091,-4.267,0.0437,124.978,0.641,58,"03:40"
"Treacherous","Red","2012-10-22",3,"spotify:track:5kYFVSQoPu7yRpfiHBwMUk",0.101,0.705,0.621,4.3e-06,0.147,-8.086,0.0334,109.993,0.395,38,"04:00"
"I Knew You Were Trouble.","Red","2012-10-22",4,"spotify:track:72jCZdH0Lhg93z6Z4hBjgj",0.00454,0.622,0.469,2.25e-06,0.0398,-6.798,0.0363,77.019,0.679,61,"03:37"
"All Too Well","Red","2012-10-22",5,"spotify:track:4XMP3zVxrnr58T0tjIHvpR",0.0382,0.602,0.609,2e-04,0.127,-7.803,0.0243,93.06,0.337,44,"05:27"
"22","Red","2012-10-22",6,"spotify:track:2ULNeSomDxVNmdDy8VxEBU",0.00215,0.658,0.729,0.0013,0.0752,-6.561,0.0378,104.007,0.668,53,"03:50"
"I Almost Do","Red","2012-10-22",7,"spotify:track:5VwFkx7JOimOGTYfha5rs1",0.0173,0.567,0.481,4.13e-05,0.182,-7.357,0.027,145.865,0.233,39,"04:02"
"We Are Never Ever Getting Back Together","Red","2012-10-22",8,"spotify:track:7AEAGTc8cReDqcbPoY9gwo",0.00957,0.628,0.676,2.65e-05,0.102,-5.911,0.0916,85.984,0.75,59,"03:11"
"Stay Stay Stay","Red","2012-10-22",9,"spotify:track:1qLeEu4iXEclkLwoBlMiou",0.307,0.729,0.748,1.29e-06,0.09,-6.67,0.0245,99.981,0.928,39,"03:24"
"The Last Time","Red","2012-10-22",10,"spotify:track:3n9mzjgAzjyKawvbHzciXF",0.035,0.505,0.443,3.15e-06,0.0921,-7.039,0.0276,94.069,0.123,38,"04:58"
"Holy Ground","Red","2012-10-22",11,"spotify:track:1fGsZsIkQkOspfsT24nQP6",0.0162,0.627,0.816,0.00208,0.0966,-6.698,0.0774,157.043,0.648,37,"03:21"
"Sad Beautiful Tragic","Red","2012-10-22",12,"spotify:track:6LKjHhOW1az75pCQ9XJJtF",0.632,0.624,0.34,0.0337,0.121,-12.411,0.029,129.987,0.261,35,"04:43"
"The Lucky One","Red","2012-10-22",13,"spotify:track:2X2J0BhxaLTmnxO4pPUhSd",0.0371,0.706,0.499,0,0.132,-7.675,0.0369,117.937,0.545,36,"04:00"
"Everything Has Changed","Red","2012-10-22",14,"spotify:track:4NAmRvqSITAAzKWnC8yRq3",0.36,0.624,0.458,3.89e-06,0.303,-6.755,0.0287,80.017,0.436,50,"04:03"
"Starlight","Red","2012-10-22",15,"spotify:track:7MecVsMj22MneZt7kVFaCr",0.0213,0.649,0.777,0.000335,0.221,-5.804,0.0406,126.018,0.587,37,"03:37"
"Begin Again","Red","2012-10-22",16,"spotify:track:0L4YCNRfXAoTvdpWeH2RGj",0.199,0.53,0.526,3.52e-06,0.232,-8.349,0.0263,79.025,0.323,56,"03:57"
