state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Alabama,2023,0,4596,157.0,13359561.5
Alabama,2023,1,348,81.0,1340909.5
Alabama,2023,2,230,18.5,230819.0
Alabama,2023,3,368,157.0,3340586.0
Alabama,2023,4,324,18.25,444084.0
Alabama,2023,5,420,18.75,432140.25
Alabama,2023,6,613,51.5,2702824.5
Alabama,2023,7,602,31.75,1415247.0
Alabama,2023,8,656,43.25,2013083.0
Alabama,2023,9,215,20.5,159231.0
Alabama,2023,10,316,77.0,345902.75
Alabama,2023,11,261,17.5,264422.0
Alabama,2023,12,243,59.25,670312.5
Alaska,2023,0,419,59.25,1967523.0
Alaska,2023,1,24,5.75,28111.0
Alaska,2023,2,29,5.75,25704.75
Alaska,2023,3,23,6.0,29641.5
Alaska,2023,4,16,9.75,18505.5
Alaska,2023,5,30,12.0,178682.75
Alaska,2023,6,44,10.25,80434.25
Alaska,2023,7,43,9.75,66018.5
Alaska,2023,8,51,15.25,300939.5
Alaska,2023,9,43,43.25,433533.5
Alaska,2023,10,26,6.5,54018.5
Alaska,2023,11,55,59.25,656377.5
Alaska,2023,12,35,28.75,95555.75
Arizona,2023,0,1790,50.5,5978562.5
Arizona,2023,1,133,26.75,493772.75
Arizona,2023,2,120,49.5,857978.0
Arizona,2023,3,135,17.75,231473.0
Arizona,2023,4,125,11.0,146918.0
Arizona,2023,5,155,11.5,251973.75
Arizona,2023,6,136,8.25,184331.0
Arizona,2023,7,277,50.5,1554076.0
Arizona,2023,8,243,23.75,679407.0
Arizona,2023,9,141,46.0,914624.25
Arizona,2023,10,110,21.5,211096.5
Arizona,2023,11,90,9.25,180708.75
Arizona,2023,12,125,38.5,272203.5
Arkansas,2023,0,3218,234.25,20046601.75
Arkansas,2023,1,286,73.0,4153065.5
Arkansas,2023,2,285,70.25,2396791.75
Arkansas,2023,3,258,234.25,3305925.75
Arkansas,2023,4,248,31.0,628707.25
Arkansas,2023,5,231,22.25,293738.75
Arkansas,2023,6,491,112.75,6226805.75
Arkansas,2023,7,388,37.75,1127199.0
Arkansas,2023,8,322,34.75,625402.75
Arkansas,2023,9,239,73.5,661322.5
Arkansas,2023,10,204,14.5,250050.0
Arkansas,2023,11,134,7.5,145140.0
Arkansas,2023,12,132,15.0,232452.75
California,2023,0,14231,332.75,116538975.5
California,2023,1,1365,183.25,30585359.75
California,2023,2,1059,253.0,21244801.5
California,2023,3,1395,214.25,21595938.75
California,2023,4,1076,152.5,3523736.25
California,2023,5,1107,44.0,3178588.75
California,2023,6,1235,47.25,3899496.75
California,2023,7,1275,314.5,5973160.75
California,2023,8,1423,177.5,8183474.5
California,2023,9,1177,192.5,5198916.75
California,2023,10,1107,332.75,5585738.25
California,2023,11,1062,119.75,4480872.0
California,2023,12,950,117.75,3088891.5
Colorado,2023,0,2737,53.75,4616940.5
Colorado,2023,1,109,7.0,190218.0
Colorado,2023,2,91,15.25,134471.0
Colorado,2023,3,134,31.75,382568.75
Colorado,2023,4,227,17.0,349847.25
Colorado,2023,5,263,53.75,705310.0
Colorado,2023,6,355,18.25,652387.5
Colorado,2023,7,380,16.5,606733.25
Colorado,2023,8,449,17.75,549046.0
Colorado,2023,9,212,12.5,356584.25
Colorado,2023,10,234,14.5,297042.5
Colorado,2023,11,165,19.25,225046.0
Colorado,2023,12,118,10.0,167686.0
Connecticut,2023,0,1172,65.5,3336158.75
Connecticut,2023,1,59,4.25,31439.0
Connecticut,2023,2,90,37.25,203221.25
Connecticut,2023,3,85,39.25,240032.25
Connecticut,2023,4,75,9.5,78486.5
Connecticut,2023,5,63,5.5,58895.0
Connecticut,2023,6,85,9.0,87016.25
Connecticut,2023,7,213,22.0,389048.25
Connecticut,2023,8,132,9.5,137711.5
Connecticut,2023,9,150,19.25,254851.25
Connecticut,2023,10,74,9.0,56241.5
Connecticut,2023,11,63,14.0,64786.25
Connecticut,2023,12,83,65.5,1734429.75
Delaware,2023,0,424,61.75,882363.25
Delaware,2023,1,21,6.5,14515.0
