state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Alabama,2016,0,483,19.25,688968.5
Alabama,2016,1,29,5.0,37846.5
Alabama,2016,2,39,9.25,42887.25
Alabama,2016,3,36,3.75,28500.25
Alabama,2016,4,29,5.25,24708.25
Alabama,2016,5,36,9.5,70392.5
Alabama,2016,6,61,19.25,192457.75
Alabama,2016,7,80,4.5,54132.25
Alabama,2016,8,54,8.5,65080.5
Alabama,2016,9,25,19.25,30689.75
Alabama,2016,10,18,7.25,45510.5
Alabama,2016,11,47,11.75,55450.0
Alabama,2016,12,29,5.75,41313.0
Alaska,2016,0,56,34.0,138765.25
Alaska,2016,1,9,12.5,31291.25
Alaska,2016,2,2,4.25,1388.0
Alaska,2016,3,0,0.0,0.0
Alaska,2016,4,1,3.25,2248.0
Alaska,2016,5,3,34.0,20872.25
Alaska,2016,6,3,1.25,1833.5
Alaska,2016,7,5,3.25,6027.0
Alaska,2016,8,4,3.75,5519.75
Alaska,2016,9,7,11.75,20992.75
Alaska,2016,10,8,5.5,21607.0
Alaska,2016,11,1,2.5,724.75
Alaska,2016,12,13,6.5,26261.0
Arizona,2016,0,806,21.5,1660966.25
Arizona,2016,1,70,17.25,102417.5
Arizona,2016,2,55,9.5,266316.0
Arizona,2016,3,47,3.25,62313.0
Arizona,2016,4,58,13.25,113614.5
Arizona,2016,5,58,6.5,91447.5
Arizona,2016,6,116,17.25,234931.75
Arizona,2016,7,94,21.5,310858.75
Arizona,2016,8,82,10.25,152472.5
Arizona,2016,9,63,17.25,88690.75
Arizona,2016,10,61,8.0,93243.5
Arizona,2016,11,53,8.75,84640.25
Arizona,2016,12,49,4.0,60020.25
Arkansas,2016,0,2061,39.25,7725929.0
Arkansas,2016,1,128,26.75,432601.5
Arkansas,2016,2,100,12.0,118668.25
Arkansas,2016,3,193,29.5,419192.5
Arkansas,2016,4,180,39.25,574406.0
Arkansas,2016,5,196,16.0,317104.75
Arkansas,2016,6,194,20.25,379386.5
Arkansas,2016,7,372,31.5,4404928.75
Arkansas,2016,8,239,30.0,437404.75
Arkansas,2016,9,136,9.25,171802.25
Arkansas,2016,10,114,8.25,192802.0
Arkansas,2016,11,86,15.0,115073.25
Arkansas,2016,12,123,11.0,162558.5
California,2016,0,5395,94.0,27205879.25
California,2016,1,432,76.75,3141638.5
California,2016,2,387,72.25,2236140.0
California,2016,3,405,69.5,2846877.0
California,2016,4,494,46.0,2356203.75
California,2016,5,446,66.25,1780095.5
California,2016,6,487,70.5,2169925.5
California,2016,7,484,94.0,2085134.0
California,2016,8,521,74.0,2078979.5
California,2016,9,501,71.5,2080104.5
California,2016,10,428,81.75,2433940.5
California,2016,11,422,46.25,1908953.25
California,2016,12,388,67.25,2087887.25
Colorado,2016,0,1234,49.5,4093727.5
Colorado,2016,1,123,9.5,185359.0
Colorado,2016,2,99,46.0,246217.25
Colorado,2016,3,119,49.5,2321151.0
Colorado,2016,4,157,9.25,208045.5
Colorado,2016,5,112,26.0,205615.75
