state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Florida,2018,12,873,35.75,1414076.0
Georgia,2018,0,6260,269.75,20625028.75
Georgia,2018,1,428,10.0,692688.0
Georgia,2018,2,256,8.5,189494.25
Georgia,2018,3,430,29.0,665246.75
Georgia,2018,4,347,21.25,525139.25
Georgia,2018,5,552,13.5,478866.75
Georgia,2018,6,920,35.5,1530286.25
Georgia,2018,7,721,44.75,1648498.5
Georgia,2018,8,727,21.25,811574.0
Georgia,2018,9,471,10.5,451384.25
Georgia,2018,10,637,269.75,12241312.0
Georgia,2018,11,366,43.5,443242.0
Georgia,2018,12,405,60.0,947296.75
Hawaii,2018,0,318,16.0,789303.75
Hawaii,2018,1,28,3.0,29218.5
Hawaii,2018,2,25,6.25,65714.75
Hawaii,2018,3,30,3.5,45495.75
Hawaii,2018,4,22,9.0,132292.25
Hawaii,2018,5,24,5.25,38716.0
Hawaii,2018,6,21,5.5,47136.25
Hawaii,2018,7,30,11.5,64844.75
Hawaii,2018,8,28,10.75,81954.0
Hawaii,2018,9,30,16.0,91179.75
Hawaii,2018,10,25,8.0,69300.25
Hawaii,2018,11,28,9.0,55311.5
Hawaii,2018,12,27,11.25,68140.0
Idaho,2018,0,869,34.25,1451088.25
Idaho,2018,1,65,12.25,59264.75
Idaho,2018,2,45,7.75,63174.75
Idaho,2018,3,61,6.75,86066.0
Idaho,2018,4,98,15.0,117942.25
Idaho,2018,5,72,21.25,118000.0
Idaho,2018,6,85,9.0,150595.75
Idaho,2018,7,82,23.5,169363.75
Idaho,2018,8,86,7.25,126172.25
Idaho,2018,9,53,9.5,64568.0
Idaho,2018,10,73,18.75,90007.75
Idaho,2018,11,68,34.25,196123.5
Idaho,2018,12,81,22.0,209809.5
Illinois,2018,0,4215,106.5,12343935.25
Illinois,2018,1,329,13.0,369894.5
Illinois,2018,2,262,21.25,281652.75
Illinois,2018,3,216,10.5,233953.25
Illinois,2018,4,283,13.0,307358.0
Illinois,2018,5,410,23.0,741470.0
Illinois,2018,6,582,23.0,2138066.25
Illinois,2018,7,450,26.0,763300.0
Illinois,2018,8,417,24.0,937881.0
Illinois,2018,9,365,31.5,793309.0
Illinois,2018,10,338,30.5,749688.75
Illinois,2018,11,309,106.5,4698411.5
